May 18, 2015,72.00,72.00,69.30,69.60,
May 15, 2015,67.40,72.00,67.40,71.60,
May 14, 2015,68.40,69.25,67.20,68.75,
May 13, 2015,67.25,68.40,66.45,67.80,
May 12, 2015,69.40,69.45,65.30,66.50,
May 11, 2015,70.00,70.50,69.05,69.65,
May 8, 2015,69.65,71.45,69.00,69.20,
May 7, 2015,67.50,70.50,66.75,70.05,
May 6, 2015,70.10,71.40,67.90,68.00,
May 5, 2015,71.00,71.80,69.95,70.65,
May 4, 2015,69.50,72.40,69.50,70.95,
Apr 30, 2015,68.95,72.20,68.95,70.00,
Apr 29, 2015,70.00,70.50,69.15,70.00,
Apr 28, 2015,67.05,70.50,67.05,69.35,
Apr 27, 2015,72.60,72.60,67.10,68.50,
Apr 24, 2015,73.00,73.30,70.25,70.50,
Apr 23, 2015,73.00,73.70,72.05,72.15,
Apr 22, 2015,73.70,74.80,71.30,72.35,
Apr 21, 2015,74.00,75.55,73.60,73.90,
Apr 20, 2015,75.05,76.20,74.05,74.30,
Apr 17, 2015,72.00,74.65,71.70,74.20,
Apr 16, 2015,71.00,73.00,69.10,72.80,
Apr 15, 2015,73.40,74.20,69.35,69.70,
Apr 13, 2015,73.95,74.90,72.90,73.45,
Apr 10, 2015,72.20,74.80,72.20,73.65,
Apr 9, 2015,72.50,75.80,71.65,71.90,
Apr 8, 2015,73.10,73.95,71.75,73.00,
Apr 7, 2015,72.25,73.50,71.70,72.85,
Apr 6, 2015,70.95,73.60,70.80,72.20,
Apr 1, 2015,67.75,70.90,67.60,70.00,
Mar 31, 2015,67.60,69.25,67.00,67.30,
Mar 30, 2015,64.55,67.50,64.55,67.15,
Mar 27, 2015,64.75,66.95,64.15,65.00,
Mar 26, 2015,63.65,64.50,63.35,64.50,
